
Ingredient_Name,INCI_Name,Primary_Function,Anti_Aging_Effectiveness,Acne_Effectiveness,Hyperpigmentation_Effectiveness,Hydration_Effectiveness,Sensitivity_Effectiveness,Clinical_Studies_Count,Evidence_Level,Optimal_Concentration_Min,Optimal_Concentration_Max,Time_To_Results_Weeks,Mechanism_Of_Action,Synergistic_Partners,Antagonistic_Ingredients,pH_Stability_Min,pH_Stability_Max,Molecular_Weight,Penetration_Ability,Cost_Effectiveness_Rating,Availability_Rating,Tolerability_Rating,Pregnancy_Safe,Breastfeeding_Safe,Usage_Notes_EN,Usage_Notes_AR
Hydroxypropyl Methylcellulose,Hydroxypropyl Methylcellulose,Thickener/Film Former,2.5,2.0,1.0,4.5,9.0,40,Medium,0.1,2.0,1,Thickening and film forming,Other cellulose derivatives; Hyaluronic Acid,None known,4.0,8.0,Variable,Low,8.0,8.5,9.0,Yes,Yes,Modified cellulose thickener,مثخن سليلوز معدل
Sodium Polyacrylate,Sodium Polyacrylate,Thickener/Absorbent,2.0,2.0,1.0,6.0,8.5,50,Medium,0.1,5.0,1,Super absorbent polymer,Hyaluronic Acid; Glycerin; Water,Strong acids,6.0,9.0,Variable,Low,8.0,8.5,8.5,Yes,Yes,Super absorbent thickening agent,عامل تثخين فائق الامتصاص
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Thickener/Stabilizer,2.0,2.0,1.0,3.5,8.5,45,Medium,0.1,1.0,1,Thickening and stabilizing,Neutralizing agents; Emulsifiers; Actives,Strong acids,6.0,9.0,Variable,Low,8.0,8.5,8.5,Yes,Yes,Synthetic thickener for emulsions,مثخن صناعي للمستحلبات
Polyacrylamide,Polyacrylamide,Thickener/Film Former,2.0,2.0,1.0,4.0,8.0,35,Medium,0.1,2.0,1,Film forming and thickening,Emulsifiers; Silicones; Oils,None known,4.0,8.0,Variable,Low,7.5,8.5,8.5,Yes,Yes,Synthetic film-forming agent,عامل تشكيل أغشية صناعي
Cetyl Alcohol,Cetyl Alcohol,Emulsifier/Emollient,3.5,2.0,1.0,6.5,8.5,100,High,1.0,10.0,1,Emulsifying and conditioning,Stearyl Alcohol; Emulsifiers; Oils,None known,4.0,8.0,242.44,Low,9.0,9.5,8.5,Yes,Yes,Fatty alcohol emulsifier,مستحلب كحول دهني
Stearyl Alcohol,Stearyl Alcohol,Emulsifier/Emollient,3.5,2.0,1.0,6.5,8.5,90,High,1.0,10.0,1,Emulsifying and conditioning,Cetyl Alcohol; Emulsifiers; Oils,None known,4.0,8.0,270.49,Low,9.0,9.5,8.5,Yes,Yes,Long-chain fatty alcohol,كحول دهني طويل السلسلة
Cetearyl Alcohol,Cetearyl Alcohol,Emulsifier/Emollient,3.5,2.0,1.0,6.5,8.5,120,High,1.0,15.0,1,Emulsifying and conditioning,Ceteareth-20; Emulsifiers; Oils,None known,4.0,8.0,Variable,Low,9.5,9.5,8.5,Yes,Yes,Blend of cetyl and stearyl alcohol,مزيج من الكحول السيتيلي والستياريلي
Behenyl Alcohol,Behenyl Alcohol,Emulsifier/Emollient,3.0,1.5,1.0,7.0,8.5,40,Medium,0.5,5.0,1,Heavy emollient and thickener,Other fatty alcohols; Emulsifiers; Butters,None known,4.0,8.0,326.60,Low,7.5,8.5,8.5,Yes,Yes,Very long-chain fatty alcohol,كحول دهني طويل السلسلة جداً
Glyceryl Stearate,Glyceryl Stearate,Emulsifier/Emollient,3.0,2.0,1.0,6.0,8.5,150,High,1.0,10.0,1,Emulsifying and moisturizing,PEG-100 Stearate; Cetyl Alcohol; Oils,None known,4.0,8.0,358.56,Low,9.0,9.5,8.5,Yes,Yes,Natural emulsifier from glycerin and stearic acid,مستحلب طبيعي من الجليسرين وحمض الستياريك
PEG-100 Stearate,PEG-100 Stearate,Emulsifier,2.5,2.0,1.0,4.0,7.5,80,High,0.5,5.0,1,Emulsifying agent,Glyceryl Stearate; Cetyl Alcohol; Oils,None known,4.0,8.0,Variable,Low,8.5,9.0,8.0,Yes,Yes,Synthetic emulsifier,مستحلب صناعي
Polysorbate 80,Polysorbate 80,Emulsifier/Solubilizer,2.0,2.5,1.0,3.0,7.0,120,High,0.1,5.0,1,Emulsifying and solubilizing,Other polysorbates; Essential oils; Fragrances,None known,4.0,8.0,1309.68,Medium,8.5,9.0,7.5,Yes,Yes,Solubilizes oils and fragrances,يذيب الزيوت والعطور
Polysorbate 20,Polysorbate 20,Emulsifier/Solubilizer,2.0,2.5,1.0,3.5,7.5,100,High,0.1,3.0,1,Mild emulsifier,Polysorbate 80; Essential oils; Actives,None known,4.0,8.0,1227.54,Medium,8.0,8.5,8.0,Yes,Yes,Gentler than polysorbate 80,أكثر لطفاً من البوليسوربات 80
Lecithin,Lecithin,Emulsifier/Antioxidant,4.0,2.5,2.0,6.0,8.0,70,High,0.5,5.0,2,Natural emulsifier with antioxidant properties,Vitamin E; Oils; Phospholipids,None known,4.0,8.0,Variable,Medium,7.5,8.5,8.5,Yes,Yes,Natural phospholipid emulsifier,مستحلب فوسفوليبيد طبيعي
Stearic Acid,Stearic Acid,Emulsifier/Thickener,3.0,2.0,1.0,5.0,8.0,100,High,1.0,10.0,1,Emulsifying and thickening,Triethanolamine; Potassium Hydroxide; Fatty alcohols,None known,4.0,8.0,284.48,Low,9.0,9.5,8.5,Yes,Yes,Saturated fatty acid emulsifier,مستحلب حمض دهني مشبع
Palmitic Acid,Palmitic Acid,Emulsifier/Emollient,3.0,2.0,1.0,5.5,8.0,80,High,0.5,5.0,1,Emulsifying and conditioning,Stearic Acid; Fatty alcohols; Oils,None known,4.0,8.0,256.42,Low,8.5,9.0,8.5,Yes,Yes,Saturated fatty acid,حمض دهني مشبع
Myristic Acid,Myristic Acid,Emulsifier/Cleansing,3.0,3.0,1.0,4.0,7.5,60,Medium,0.5,3.0,1,Emulsifying and cleansing,Other fatty acids; Surfactants; Soaps,None known,4.0,8.0,228.37,Low,8.0,8.5,8.0,Yes,Yes,Medium-chain fatty acid,حمض دهني متوسط السلسلة
Lauric Acid,Lauric Acid,Antimicrobial/Cleansing,3.0,4.0,1.0,3.0,7.0,50,Medium,0.5,3.0,2,Antimicrobial and cleansing,Coconut Oil; Other fatty acids; Surfactants,None known,4.0,8.0,200.32,Medium,8.0,8.5,7.5,Yes,Yes,Antimicrobial fatty acid from coconut,حمض دهني مضاد للميكروبات من جوز الهند
Sodium Lauryl Sulfate,Sodium Lauryl Sulfate,Surfactant/Cleansing,2.0,3.0,1.0,2.0,4.0,200,Very High,0.5,15.0,1,Strong cleansing surfactant,Other surfactants; Foam boosters,Proteins; Cationic ingredients,6.0,9.0,288.38,High,9.5,9.5,4.5,Yes,Yes,Strong cleansing agent. Can be irritating,عامل تنظيف قوي. قد يكون مهيجاً
Sodium Laureth Sulfate,Sodium Laureth Sulfate,Surfactant/Cleansing,2.0,3.0,1.0,2.5,5.5,180,Very High,1.0,15.0,1,Milder cleansing surfactant,Cocamidopropyl Betaine; Foam boosters,Cationic ingredients,6.0,8.0,Variable,High,9.0,9.5,6.0,Yes,Yes,Milder than SLS but still can irritate,أكثر اعتدالاً من SLS لكن قد يهيج
Cocamidopropyl Betaine,Cocamidopropyl Betaine,Surfactant/Conditioning,2.5,3.5,1.0,4.0,7.5,120,High,1.0,10.0,1,Mild amphoteric surfactant,SLES; SLS; Other mild surfactants,None known,4.0,9.0,342.55,Medium,8.5,9.0,8.0,Yes,Yes,Gentle cleansing with conditioning properties,تنظيف لطيف مع خصائص تكييفية
Coco Glucoside,Coco Glucoside,Surfactant/Cleansing,2.5,3.0,1.0,4.5,8.5,60,Medium,0.5,10.0,1,Mild natural surfactant,Other glucosides; Mild surfactants,None known,4.0,8.0,Variable,Medium,7.5,8.5,8.5,Yes,Yes,Natural sugar-based surfactant,سطحي طبيعي قائم على السكر
Decyl Glucoside,Decyl Glucoside,Surfactant/Cleansing,2.5,3.0,1.0,4.5,8.5,50,Medium,0.5,8.0,1,Mild natural surfactant,Coco Glucoside; Other mild surfactants,None known,4.0,8.0,322.40,Medium,7.0,8.0,8.5,Yes,Yes,Gentle plant-derived cleanser,منظف لطيف مشتق من النباتات
Lauryl Glucoside,Lauryl Glucoside,Surfactant/Cleansing,2.5,3.0,1.0,4.0,8.0,45,Medium,0.5,8.0,1,Natural mild surfactant,Other glucosides; Mild cleansers,None known,4.0,8.0,350.45,Medium,7.0,8.0,8.5,Yes,Yes,Coconut and sugar-derived cleanser,منظف مشتق من جوز الهند والسكر
Caprylyl/Capryl Glucoside,Caprylyl/Capryl Glucoside,Surfactant/Solubilizer,2.5,3.0,1.0,4.5,8.5,35,Medium,0.5,5.0,1,Mild surfactant and solubilizer,Essential oils; Other glucosides,None known,4.0,8.0,Variable,Medium,6.5,7.5,8.5,Yes,Yes,Solubilizes essential oils gently,يذيب الزيوت الأساسية بلطف
Disodium Cocoamphodiacetate,Disodium Cocoamphodiacetate,Surfactant/Conditioning,2.5,3.5,1.0,4.5,8.0,40,Medium,1.0,8.0,1,Mild amphoteric surfactant,Cocamidopropyl Betaine; Other mild surfactants,None known,4.0,9.0,Variable,Medium,7.5,8.5,8.5,Yes,Yes,Very mild coconut-derived surfactant,سطحي لطيف جداً مشتق من جوز الهند
Sodium Cocoyl Isethionate,Sodium Cocoyl Isethionate,Surfactant/Conditioning,2.5,3.0,1.0,5.0,8.5,50,Medium,5.0,50.0,1,Mild solid surfactant,Other mild surfactants; Conditioning agents,None known,4.0,8.0,343.49,Low,7.0,8.0,8.5,Yes,Yes,Gentle solid cleanser for sensitive skin,منظف صلب لطيف للبشرة الحساسة
Sodium Methyl Cocoyl Taurate,Sodium Methyl Cocoyl Taurate,Surfactant/Cleansing,2.5,3.5,1.0,4.0,8.0,35,Medium,2.0,15.0,1,Mild amino acid surfactant,Other mild surfactants; Conditioning agents,None known,5.0,8.0,Variable,Medium,6.5,7.5,8.5,Yes,Yes,Amino acid-based gentle cleanser,منظف لطيف قائم على الأحماض الأمينية
Potassium Cocoyl Glycinate,Potassium Cocoyl Glycinate,Surfactant/Conditioning,2.5,3.0,1.0,4.5,8.5,25,Low,1.0,10.0,1,Ultra-mild amino acid surfactant,Other amino acid surfactants,None known,6.0,8.0,Variable,Medium,6.0,7.0,9.0,Yes,Yes,Extremely gentle amino acid cleanser,منظف أحماض أمينية لطيف للغاية
Citric Acid,Citric Acid,pH Adjuster/Exfoliant,4.0,4.0,4.0,3.0,6.5,100,High,0.1,2.0,4,pH adjustment and mild exfoliation,AHA; Sodium Benzoate; Preservatives,Retinoids; Strong bases,2.0,6.0,192.12,Medium,9.5,9.5,7.0,Yes,Yes,Natural pH adjuster and mild exfoliant,منظم طبيعي للرقم الهيدروجيني ومقشر خفيف
Sodium Hydroxide,Sodium Hydroxide,pH Adjuster,1.0,1.0,1.0,1.0,3.0,150,High,0.01,0.5,1,pH adjustment to alkaline,Acids; Carbomer; Acrylates,Acids (neutralization),12.0,14.0,40.00,High,9.5,9.5,3.5,Yes,Yes,Strong base for pH adjustment. Use with caution,قاعدة قوية لتعديل الرقم الهيدروجيني. استخدم بحذر
Potassium Hydroxide,Potassium Hydroxide,pH Adjuster/Saponifier,1.0,1.0,1.0,1.0,3.0,120,High,0.01,0.5,1,pH adjustment and saponification,Fatty acids; Oils; Acids,Acids (neutralization),12.0,14.0,56.11,High,9.0,9.5,3.5,Yes,Yes,Strong base for soap making and pH adjustment,قاعدة قوية لصنع الصابون وتعديل الرقم الهيدروجيني
Triethanolamine,Triethanolamine,pH Adjuster/Emulsifier,2.0,2.0,1.0,3.0,6.0,80,High,0.1,2.0,1,pH adjustment and emulsification,Stearic Acid; Fatty acids; Carbomer,None known,8.0,11.0,149.19,Medium,8.5,9.0,6.5,Yes,Yes,Alkaline pH adjuster and emulsifier,منظم قلوي للرقم الهيدروجيني ومستحلب
Aminomethyl Propanol,Aminomethyl Propanol,pH Adjuster,2.0,2.0,1.0,3.0,7.0,40,Medium,0.1,1.0,1,pH adjustment,Carbomer; Acrylates; Acids,Strong acids,9.0,11.0,89.14,Medium,7.5,8.5,7.5,Yes,Yes,Alternative to triethanolamine,بديل للتريثانولامين
Disodium EDTA,Disodium EDTA,Chelating Agent,2.0,2.0,1.0,2.0,8.0,200,Very High,0.01,0.1,1,Chelates metal ions,Preservatives; Antioxidants; Vitamin C,None known,4.0,8.0,336.21,Low,9.0,9.5,8.5,Yes,Yes,Prevents metal-catalyzed oxidation,يمنع الأكسدة المحفزة بالمعادن
Tetrasodium EDTA,Tetrasodium EDTA,Chelating Agent,2.0,2.0,1.0,2.0,8.0,150,High,0.01,0.1,1,Chelates metal ions,Disodium EDTA; Preservatives; Antioxidants,None known,4.0,8.0,380.17,Low,8.5,9.0,8.5,Yes,Yes,More water-soluble than disodium EDTA,أكثر ذوباناً في الماء من ثنائي الصوديوم EDTA
Phytic Acid,Phytic Acid,Chelating Agent/Antioxidant,4.0,3.0,3.0,3.0,8.0,30,Medium,0.1,1.0,4,Natural chelating agent,Vitamin C; Natural preservatives; Plant extracts,None known,2.0,7.0,660.04,Medium,6.0,7.0,8.5,Yes,Yes,Natural alternative to EDTA,بديل طبيعي لـ EDTA
Sodium Phytate,Sodium Phytate,Chelating Agent,3.5,3.0,3.0,3.0,8.5,20,Low,0.1,0.5,4,Natural metal chelator,Phytic Acid; Natural preservatives,None known,4.0,8.0,Variable,Medium,5.5,6.5,8.5,Yes,Yes,Natural chelating agent from plants,عامل خلب طبيعي من النباتات
Gluconic Acid,Gluconic Acid,Chelating Agent/pH Adjuster,3.0,3.0,2.0,4.0,8.0,25,Low,0.1,2.0,2,Mild chelating and pH adjustment,Natural preservatives; Gentle acids,None known,3.0,6.0,196.16,Medium,6.5,7.5,8.5,Yes,Yes,Gentle natural chelating agent,عامل خلب طبيعي لطيف
Fragrance,Parfum,Fragrance,1.0,1.0,1.0,1.0,4.0,500,Very High,0.1,3.0,1,Provides scent,Essential oils; Fragrance components,None known,4.0,8.0,Variable,High,9.5,9.5,5.0,No,No,May contain allergens. Avoid during pregnancy,قد يحتوي على مسببات الحساسية. تجنب أثناء الحمل
Linalool,Linalool,Fragrance Component,2.0,2.0,1.0,2.0,5.0,80,High,0.01,1.0,1,Floral scent component,Other fragrance components; Essential oils,None known,4.0,8.0,154.25,High,8.0,9.0,6.0,No,No,Common allergen. Must be declared on labels,مسبب حساسية شائع. يجب الإعلان عنه على الملصقات
Limonene,Limonene,Fragrance Component,2.0,2.0,1.0,2.0,5.0,70,High,0.01,1.0,1,Citrus scent component,Other terpenes; Citrus oils,None known,4.0,8.0,136.23,High,8.5,9.0,6.0,No,No,Citrus allergen. Must be declared,مسبب حساسية حمضيات. يجب الإعلان عنه
Geraniol,Geraniol,Fragrance Component,2.0,2.0,1.0,2.0,5.0,60,Medium,0.01,0.5,1,Rose-like scent,Other fragrance components; Rose oil,None known,4.0,8.0,154.25,High,7.5,8.5,6.0,No,No,Rose scent allergen. Must be declared,مسبب حساسية برائحة الورد. يجب الإعلان عنه
Citronellol,Citronellol,Fragrance Component,2.0,2.0,1.0,2.0,5.5,50,Medium,0.01,0.5,1,Rose and citrus scent,Geraniol; Other fragrance components,None known,4.0,8.0,156.27,High,7.5,8.5,6.5,No,No,Floral allergen. Must be declared,مسبب حساسية زهري. يجب الإعلان عنه
Benzyl Salicylate,Benzyl Salicylate,Fragrance Component,2.0,2.0,1.0,2.0,6.0,40,Medium,0.01,1.0,1,Sweet floral scent,Other fragrance components; Salicylates,None known,4.0,8.0,228.24,Medium,7.0,8.0,6.5,No,No,Potential allergen. Avoid during pregnancy,مسبب حساسية محتمل. تجنب أثناء الحمل
Coumarin,Coumarin,Fragrance Component,2.0,2.0,1.0,2.0,5.0,45,Medium,0.01,0.5,1,Sweet vanilla-like scent,Other fragrance components; Vanilla,None known,4.0,8.0,146.14,High,7.0,8.0,6.0,No,No,Allergen found in tonka beans. Must be declared,مسبب حساسية موجود في حبوب التونكا. يجب الإعلان عنه
Eugenol,Eugenol,Fragrance Component,2.5,3.0,1.0,2.0,5.0,35,Medium,0.01,0.5,1,Clove-like scent with antimicrobial properties,Clove oil; Other phenolic compounds,None known,4.0,8.0,164.20,High,6.5,7.5,6.0,No,No,Spicy allergen with antimicrobial properties,مسبب حساسية حار مع خصائص مضادة للميكروبات
Cinnamyl Alcohol,Cinnamyl Alcohol,Fragrance Component,2.0,2.0,1.0,2.0,5.0,30,Low,0.01,0.5,1,Floral hyacinth scent,Other fragrance components; Floral oils,None known,4.0,8.0,134.18,High,6.5,7.5,6.0,No,No,Floral allergen. Must be declared,مسبب حساسية زهري. يجب الإعلان عنه
Benzyl Benzoate,Benzyl Benzoate,Fragrance Component/Solvent,2.0,2.5,1.0,2.0,6.0,50,Medium,0.1,2.0,1,Sweet balsamic scent and solvent,Other fragrance components; Essential oils,None known,4.0,8.0,212.24,Medium,7.5,8.5,6.5,No,No,Balsamic allergen and solvent,مسبب حساسية بلسمي ومذيب
Benzyl Cinnamate,Benzyl Cinnamate,Fragrance Component,2.0,2.0,1.0,2.0,5.5,25,Low,0.01,0.5,1,Sweet honey-like scent,Other fragrance components; Floral oils,None known,4.0,8.0,238.28,Medium,6.0,7.0,6.0,No,No,Sweet allergen. Must be declared,مسبب حساسية حلو. يجب الإعلان عنه
Farnesol,Farnesol,Fragrance Component/Antimicrobial,2.5,3.5,1.0,2.0,6.0,30,Low,0.01,0.5,2,Floral scent with antimicrobial properties,Other fragrance components; Antimicrobials,None known,4.0,8.0,222.37,High,6.0,7.0,6.5,No,No,Floral allergen with antimicrobial benefits,مسبب حساسية زهري مع فوائد مضادة للميكروبات
Hexyl Cinnamal,Hexyl Cinnamal,Fragrance Component,2.0,2.0,1.0,2.0,5.0,35,Medium,0.01,0.5,1,Floral chamomile scent,Other fragrance components; Chamomile,None known,4.0,8.0,216.32,Medium,7.0,8.0,6.0,No,No,Chamomile-like allergen. Must be declared,مسبب حساسية يشبه البابونج. يجب الإعلان عنه
Alpha-Isomethyl Ionone,Alpha-Isomethyl Ionone,Fragrance Component,2.0,2.0,1.0,2.0,5.0,40,Medium,0.01,0.5,1,Violet and woody scent,Other fragrance components; Violet oils,None known,4.0,8.0,206.32,Medium,7.0,8.0,6.0,No,No,Violet allergen. Must be declared,مسبب حساسية البنفسج. يجب الإعلان عنه
Hydroxycitronellal,Hydroxycitronellal,Fragrance Component,2.0,2.0,1.0,2.0,5.5,45,Medium,0.01,1.0,1,Fresh lily scent,Other fragrance components; Floral oils,None known,4.0,8.0,172.27,High,7.5,8.5,6.5,No,No,Fresh floral allergen. Must be declared,مسبب حساسية زهري منعش. يجب الإعلان عنه
Anise Alcohol,Anise Alcohol,Fragrance Component,2.0,2.0,1.0,2.0,5.5,20,Low,0.01,0.5,1,Sweet anise scent,Other fragrance components; Anise oil,None known,4.0,8.0,138.16,High,6.0,7.0,6.5,No,No,Sweet spicy allergen. Must be declared,مسبب حساسية حلو حار. يجب الإعلان عنه
Isoeugenol,Isoeugenol,Fragrance Component,2.5,3.0,1.0,2.0,5.0,25,Low,0.01,0.3,1,Spicy carnation scent,Eugenol; Other phenolic compounds,None known,4.0,8.0,164.20,High,6.0,7.0,6.0,No,No,Spicy floral allergen. Must be declared,مسبب حساسية زهري حار. يجب الإعلان عنه
Methyl 2-Octynoate,Methyl 2-Octynoate,Fragrance Component,2.0,2.0,1.0,2.0,6.0,15,Low,0.01,0.3,1,Violet leaf scent,Other fragrance components; Green notes,None known,4.0,8.0,154.21,High,5.5,6.5,6.5,No,No,Green allergen. Must be declared,مسبب حساسية أخضر. يجب الإعلان عنه
Evernia Prunastri Extract,Evernia Prunastri Extract,Fragrance Component,2.0,2.0,1.0,2.0,4.5,30,Medium,0.01,0.5,1,Oakmoss scent,Other natural fragrance components,None known,4.0,8.0,Variable,Medium,6.0,7.0,5.5,No,No,Natural moss allergen. Must be declared,مسبب حساسية طحلب طبيعي. يجب الإعلان عنه
Evernia Furfuracea Extract,Evernia Furfuracea Extract,Fragrance Component,2.0,2.0,1.0,2.0,4.5,25,Low,0.01,0.5,1,Treemoss scent,Evernia Prunastri; Other moss extracts,None known,4.0,8.0,Variable,Medium,5.5,6.5,5.5,No,No,Natural treemoss allergen. Must be declared,مسبب حساسية طحلب الشجر الطبيعي. يجب الإعلان عنه
CI 77891,Titanium Dioxide,Colorant/UV Filter,4.0,3.0,2.0,3.0,9.5,180,Very High,1.0,25.0,1,White pigment and UV protection,Iron Oxides; Zinc Oxide; Other pigments,None known,4.0,9.0,79.87,Low,9.0,9.5,9.5,Yes,Yes,Safe white pigment with UV protection,صبغة بيضاء آمنة مع حماية من الأشعة فوق البنفسجية
CI 77491,Iron Oxide Red,Colorant,2.0,2.0,1.0,2.0,9.0,100,High,0.5,20.0,1,Red pigment,Other iron oxides; Titanium dioxide; Mica,None known,4.0,9.0,159.69,Low,8.5,9.5,9.0,Yes,Yes,Natural red pigment,صبغة حمراء طبيعية
CI 77492,Iron Oxide Yellow,Colorant,2.0,2.0,1.0,2.0,9.0,90,High,0.5,20.0,1,Yellow pigment,Other iron oxides; Titanium dioxide; Mica,None known,4.0,9.0,159.69,Low,8.5,9.5,9.0,Yes,Yes,Natural yellow pigment,صبغة صفراء طبيعية
CI 77499,Iron Oxide Black,Colorant,2.0,2.0,1.0,2.0,9.0,80,High,0.5,15.0,1,Black pigment,Other iron oxides; Titanium dioxide; Carbon black,None known,4.0,9.0,159.69,Low,8.5,9.5,9.0,Yes,Yes,Natural black pigment,صبغة سوداء طبيعية
CI 77007,Ultramarines,Colorant,2.0,2.0,1.0,2.0,9.0,60,Medium,0.5,10.0,1,Blue pigment,Iron oxides; Titanium dioxide; Other pigments,None known,4.0,9.0,Variable,Low,7.5,8.5,9.0,Yes,Yes,Natural blue mineral pigment,صبغة معدنية زرقاء طبيعية
CI 77288,Chromium Oxide Greens,Colorant,2.0,2.0,1.0,2.0,8.5,40,Medium,0.5,10.0,1,Green pigment,Iron oxides; Titanium dioxide; Other pigments,None known,4.0,9.0,151.99,Low,7.0,8.0,8.5,Yes,Yes,Natural green pigment,صبغة خضراء طبيعية
CI 77019,Mica,Colorant/Texture Enhancer,2.5,2.0,1.0,3.0,8.5,120,High,1.0,30.0,1,Pearlescent effect and texture,Iron oxides; Titanium dioxide; Other pigments,None known,4.0,9.0,Variable,Low,8.0,9.0,8.5,Yes,Yes,Natural mineral for shimmer and texture,معدن طبيعي للبريق والملمس
CI 77163,Bismuth Oxychloride,Colorant/Pearlescent,2.5,2.0,1.0,2.5,7.5,50,Medium,1.0,20.0,1,Pearlescent white pigment,Mica; Titanium dioxide; Other pearlescent agents,None known,4.0,9.0,260.43,Low,6.5,7.5,8.0,Yes,Yes,Synthetic pearl pigment,صبغة لؤلؤية صناعية
CI 77820,Silver,Colorant/Antimicrobial,3.0,4.0,2.0,2.0,7.0,30,Medium,0.1,5.0,2,Metallic silver color with antimicrobial properties,Mica; Other metallic pigments,None known,4.0,9.0,107.87,Low,5.0,6.0,7.5,Yes,Yes,Antimicrobial metallic pigment,صبغة معدنية مضادة للميكروبات
CI 77400,Bronze Powder,Colorant,2.0,2.0,1.0,2.0,8.0,25,Low,0.5,10.0,1,Bronze metallic color,Mica; Other metallic pigments,None known,4.0,9.0,Variable,Low,6.0,7.0,8.5,Yes,Yes,Metallic bronze pigment,صبغة برونزية معدنية
CI 77000,Aluminum Powder,Colorant,2.0,2.0,1.0,2.0,7.5,35,Medium,0.5,10.0,1,Silver metallic color,Mica; Other metallic pigments,None known,4.0,9.0,26.98,Low,7.0,8.0,8.0,Yes,Yes,Metallic aluminum pigment,صبغة ألومنيوم معدنية
Mandelic Acid,Mandelic Acid,AHA Exfoliant,7.0,6.5,6.5,5.5,8.0,40,Medium,5.0,15.0,8,Gentle AHA with antimicrobial properties,Hyaluronic Acid; Niacinamide; Vitamin C,Retinoids; Strong acids,3.5,4.5,152.15,Medium,6.5,7.5,8.5,Yes,Yes,Gentlest AHA. Good for sensitive skin,أكثر أحماض الألفا هيدروكسي لطفاً. مناسب للبشرة الحساسة
Tartaric Acid,Tartaric Acid,AHA Exfoliant,6.0,5.5,5.5,4.5,7.0,25,Low,2.0,10.0,6,Natural fruit acid exfoliant,Other AHA; Hyaluronic Acid; Vitamin C,Retinoids; Strong bases,3.0,4.0,150.09,Medium,6.0,7.0,7.5,Yes,Yes,Natural AHA from grapes,حمض ألفا هيدروكسي طبيعي من العنب
Malic Acid,Malic Acid,AHA Exfoliant,6.0,5.5,5.5,5.0,7.5,30,Low,2.0,10.0,6,Apple-derived AHA,Other AHA; Hyaluronic Acid; Vitamin C,Retinoids; Strong bases,3.0,4.0,134.09,Medium,6.5,7.5,8.0,Yes,Yes,Natural AHA from apples,حمض ألفا هيدروكسي طبيعي من التفاح
Gluconolactone,Gluconolactone,PHA Exfoliant,5.5,4.5,5.0,6.5,8.5,35,Medium,2.0,15.0,8,Gentle polyhydroxy acid,Lactobionic Acid; Hyaluronic Acid; Niacinamide,None known,3.5,5.0,178.14,Low,6.0,7.0,8.5,Yes,Yes,Gentler than AHA with antioxidant properties,أكثر لطفاً من أحماض الألفا هيدروكسي مع خصائص مضادة للأكسدة
Lactobionic Acid,Lactobionic Acid,PHA Exfoliant,5.0,4.0,4.5,7.0,9.0,25,Low,2.0,10.0,8,Gentle PHA with hydrating properties,Gluconolactone; Hyaluronic Acid; Niacinamide,None known,3.5,5.0,358.30,Low,5.5,6.5,9.0,Yes,Yes,Very gentle exfoliant with moisturizing benefits,مقشر لطيف جداً مع فوائد مرطبة
Galactomyces Ferment Filtrate,Galactomyces Ferment Filtrate,Brightening/Anti-aging,6.0,5.0,6.5,6.0,8.0,50,Medium,10.0,95.0,6,Fermented yeast extract for brightening,Niacinamide; Hyaluronic Acid; Vitamin C,None known,4.0,7.0,Variable,Medium,6.0,7.0,8.5,Yes,Yes,Popular K-beauty ingredient for radiance,مكون شائع في الجمال الكوري للإشراق
Saccharomyces Ferment Filtrate,Saccharomyces Ferment Filtrate,Anti-aging/Conditioning,5.5,4.0,4.5,6.5,8.5,35,Medium,5.0,50.0,6,Fermented yeast for skin conditioning,Other ferments; Peptides; Hyaluronic Acid,None known,4.0,7.0,Variable,Medium,5.5,6.5,8.5,Yes,Yes,Conditioning fermented ingredient,مكون مخمر مكيف
Bifida Ferment Lysate,Bifida Ferment Lysate,Barrier Repair/Anti-aging,6.5,4.5,4.0,7.0,8.5,40,Medium,1.0,10.0,8,Probiotic for skin barrier repair,Lactobacillus Ferment; Hyaluronic Acid; Ceramides,None known,4.0,7.0,Variable,Medium,5.0,6.0,8.5,Yes,Yes,Probiotic ingredient for barrier health,مكون بروبيوتيك لصحة الحاجز
Lactobacillus Ferment,Lactobacillus Ferment,Probiotic/Conditioning,5.0,4.5,3.5,6.5,8.5,30,Medium,1.0,10.0,6,Probiotic for skin microbiome,Bifida Ferment; Prebiotics; Hyaluronic Acid,Harsh preservatives,4.0,7.0,Variable,Medium,5.5,6.5,8.5,Yes,Yes,Supports healthy skin microbiome,يدعم الميكروبيوم الصحي للبشرة
Streptococcus Thermophilus Ferment,Streptococcus Thermophilus Ferment,Probiotic/Hydrating,4.5,4.0,3.0,7.0,8.5,25,Low,1.0,10.0,6,Probiotic ferment for hydration,Other probiotics; Hyaluronic Acid; Ceramides,Harsh preservatives,4.0,7.0,Variable,Medium,5.0,6.0,8.5,Yes,Yes,Hydrating probiotic ingredient,مكون بروبيوتيك مرطب
